FT9,246.5,119.58333333333333,125.0
FT10,79.41666666666667,112.5,127.25
TP9,243.41666666666666,177.16666666666666,155.83333333333334
TP10,76.58333333333333,172.08333333333334,154.83333333333334
F7,238.25,90.83333333333333,151.75
FT7,246.66666666666666,115.58333333333333,161.08333333333334
T7,248.5,141.83333333333334,173.83333333333334
AF7,219.33333333333334,70.41666666666667,146.33333333333334
FP1,195.0,53.833333333333336,143.16666666666666
AF8,108.75,64.83333333333333,146.08333333333334
F8,89.58333333333333,84.08333333333333,152.33333333333334
FP2,135.0,51.583333333333336,142.75
FPZ,165.5,47.75,142.83333333333334
FT8,79.08333333333333,105.58333333333333,160.83333333333334
T8,73.08333333333333,134.75,174.5
TP7,244.16666666666666,168.25,188.75
TP8,75.5,160.66666666666666,186.5
P7,235.08333333333334,192.08333333333334,201.58333333333334
P8,83.75,186.83333333333334,200.25
F5,229.58333333333334,77.25,175.83333333333334
F6,97.83333333333333,71.66666666666667,176.08333333333334
FC5,241.58333333333334,100.16666666666667,191.41666666666666
PO7,217.58333333333334,211.16666666666666,215.91666666666666
AF4,131.16666666666666,50.75,174.16666666666666
AF3,199.33333333333334,53.75,173.58333333333334
PO8,101.33333333333333,209.0,215.83333333333334
C5,243.66666666666666,128.66666666666666,204.58333333333334
FC6,85.08333333333333,93.41666666666667,191.33333333333334
AFZ,166.0,47.583333333333336,180.91666666666666
CP5,237.25,157.33333333333334,217.66666666666666
C6,79.08333333333333,121.83333333333333,204.16666666666666
O1,192.0,226.08333333333334,227.58333333333334
P5,224.75,184.91666666666666,226.33333333333334
O2,128.08333333333334,225.25,228.5
CP6,83.08333333333333,152.25,216.75
F3,215.66666666666666,65.91666666666667,197.58333333333334
P6,93.41666666666667,180.33333333333334,225.0
OZ,159.5,229.5,232.83333333333334
F4,112.0,62.916666666666664,195.41666666666666
FC3,225.33333333333334,87.58333333333333,220.41666666666666
PO3,195.25,203.33333333333334,244.91666666666666
C3,226.66666666666666,115.16666666666667,234.75
FC4,100.83333333333333,81.83333333333333,219.0
CP3,219.5,145.41666666666666,243.58333333333334
P3,210.08333333333334,175.66666666666666,246.58333333333334
PO4,124.41666666666667,201.25,245.33333333333334
F2,135.5,57.5,213.41666666666666
F1,192.83333333333334,59.416666666666664,212.75
FZ,164.75,54.916666666666664,214.66666666666666
C4,96.25,111.0,233.25
P4,110.5,173.0,246.66666666666666
CP4,100.75,141.83333333333334,242.0
POZ,159.41666666666666,203.0,254.66666666666666
FC1,197.41666666666666,77.66666666666667,238.08333333333334
FC2,129.5,75.08333333333333,237.58333333333334
P1,188.91666666666666,168.16666666666666,259.6666666666667
C1,194.41666666666666,103.08333333333333,253.83333333333334
FCZ,164.0,73.75,241.91666666666666
CP1,193.0,136.08333333333334,260.0
P2,132.25,166.5,259.4166666666667
C2,128.33333333333334,101.58333333333333,253.5
CP2,128.08333333333334,134.75,259.25
PZ,159.91666666666666,168.25,265.0
CZ,160.33333333333334,99.16666666666667,259.0
CPZ,160.25,135.16666666666666,265.75

